,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon,Ap,cv40sm0.1,cv40sm0.25,cv40sm0.5,cm40sm0.75,cv40sm1,cv40sm1.5,cv40sm2,cv80sm0.1,cv80sm.25,cv80sm0.5,cv80sm0.75,cv80sm1,cv80sm1.5,cv80sm2,cv120sm0,cv120sm0.25,cv120sm0.5,cv120sm0.75,cv120sm1,cv120sm1.5,cv160sm0,cv160sm0.25,cv160sm0.5,cv160sm0.75,cv160sm1,cv160sm1.5,cv160sm2
1,CAF003,493383.1071,5180586.081,Naff,Ap,0,21,21,1.46,4.69,1,1,4.653411,3.855168,3.351723,3.141174,3.027432,2.89846,2.813486,4.405237,4.183094,3.908161,3.707265,3.55264,3.326611,3.164944,3.894187,3.78953,3.642738,3.521657,3.419355,3.253878,3.673604,3.673604,3.449871,3.360987,3.282856,3.150506,3.040992
6,CAF005,493446.9111,5180572.12,Palouse,Ap,0,17,17,1.56,4.12,1,1,5.364072,5.351912,5.006262,4.738716,4.540087,4.261407,4.067222,4.574705,4.540353,4.447323,4.349481,4.257449,4.095571,3.959139,4.316527,4.264024,4.180798,4.103782,4.032749,3.906189,4.161199,4.161199,4.016038,3.951558,3.891672,3.783535,3.688061
11,CAF007,493510.7264,5180568.273,Palouse,Ap,0,26,26,1.31,4.54,1,1,-4.965877,-4.363034,-3.822043,-3.472379,-3.225947,-2.908637,-2.721839,-4.580646,-4.352764,-4.066954,-3.852229,-3.682922,-3.431849,-3.255691,-4.020723,-3.910368,-3.754562,-3.625748,-3.517543,-3.346673,-3.780345,-3.780345,-3.545386,-3.45371,-3.374829,-3.246893,-3.148814
16,CAF009,493574.5508,5180572.871,Palouse,Ap,0,20,20,1.36,4.32,1,1,-7.744252,-7.649248,-7.560458,-7.48106,-7.412498,-7.297933,-7.202825,-6.954743,-6.949764,-6.954199,-6.955301,-6.950809,-6.930113,-6.901259,-6.814573,-6.820041,-6.824567,-6.82426,-6.82032,-6.805309,-6.806698,-6.806698,-6.803614,-6.797755,-6.790039,-6.771051,-6.749512
21,CAF011,493638.3683,5180571.025,Palouse,Ap,0,24,24,1.41,4.68,1,1,1.069836,2.729168,3.836461,4.405429,4.7777,5.265141,5.58776,2.233462,2.66679,3.218751,3.635312,3.965119,4.462094,4.825161,3.481946,3.683666,3.972098,4.214803,4.422889,4.763431,4.004903,4.004903,4.440979,4.617274,4.77303,5.036796,5.252637
26,CAF013,493702.2,5180582.737,Naff,Ap,0,20,20,1.5,4.43,1,1,-3.969986,-4.063844,-4.318167,-4.498296,-4.624513,-4.786978,-4.886156,-4.158781,-4.22478,-4.324767,-4.411745,-4.486772,-4.60779,-4.700176,-4.39153,-4.435463,-4.501242,-4.558861,-4.609574,-4.694463,-4.511464,-4.511464,-4.616341,-4.65997,-4.698924,-4.765512,-4.820413
31,CAF015,493797.9223,5180576.303,Latah,Ap,0,13,13,1.28,4.34,1,1,-0.635055,-0.236076,0.345719,0.663858,0.852196,1.047143,1.129063,0.886991,0.753471,0.71445,0.735962,0.767839,0.822096,0.85512,0.913684,0.890949,0.877379,0.876188,0.878691,0.883288,0.919017,0.919017,0.902897,0.90046,0.898286,0.891885,0.881671
37,CAF017,493893.6615,5180586.206,Palouse,Ap,0,15,15,1.33,4.22,1,1,10.665049,9.635673,8.745132,8.132763,7.670498,7.007484,6.546717,8.833593,8.311728,7.75435,7.372196,7.079104,6.639391,6.312915,7.436374,7.223131,6.936822,6.70688,6.514545,6.204469,6.912215,6.912215,6.490422,6.32611,6.182412,5.940312,5.741705
42,CAF019,493246.5977,5180590.191,Latah,Ap,0,24,24,1.53,4.46,1,1,4.141771,2.72775,1.898477,1.508236,1.278615,1.03018,0.910908,2.91832,2.584346,2.207635,1.955162,1.773886,1.532617,1.3822,1.969889,1.858124,1.709975,1.595858,1.505738,1.373924,1.682948,1.682948,1.489795,1.420692,1.364024,1.277595,1.215934
49,CAF021,493309.2174,5180591.83,Staley,Ap,0,13,13,1.59,4.87,1,1,0.659715,0.385783,0.585777,0.755659,0.873635,1.022565,1.113471,1.293822,1.214129,1.156247,1.139079,1.138685,1.15582,1.178935,1.213559,1.206313,1.202586,1.204731,1.20989,1.223909,1.210563,1.210563,1.217837,1.224164,1.231107,1.245317,1.258774
55,CAF023,493371.4556,5180609.627,Palouse,Ap,0,13,13,1.51,,1,1,-0.983158,-1.775307,-2.710345,-3.264961,-3.638598,-4.127243,-4.445388,-1.74977,-2.08108,-2.549092,-2.92244,-3.224431,-3.682871,-4.016322,-2.898153,-3.081593,-3.345005,-3.566448,-3.755432,-4.061871,-3.402613,-3.402613,-3.797163,-3.955094,-4.093648,-4.326023,-4.514064
61,CAF025,493436.8807,5180614.469,Naff,Ap,0,14,14,1.36,4.36,1,1,-7.743554,-7.751224,-7.843507,-7.84664,-7.811783,-7.709823,-7.606083,-7.822206,-7.79045,-7.755196,-7.723333,-7.690703,-7.623643,-7.557855,-7.723255,-7.702735,-7.668909,-7.635372,-7.602342,-7.538816,-7.659447,-7.659447,-7.592996,-7.561008,-7.530069,-7.471692,-7.418154
67,CAF027,493502.3017,5180616.156,Palouse,Ap,0,24,24,1.32,4.29,1,1,-0.084264,0.70078,1.128107,1.330645,1.458124,1.617899,1.71721,0.485325,0.663739,0.875872,1.026826,1.141491,1.30661,1.421169,1.023719,1.091903,1.186722,1.264135,1.328763,1.43087,1.208809,1.208809,1.344061,1.39667,1.442087,1.516531,1.574873
73,CAF029,493564.5137,5180609.886,Staley,Ap,0,22,22,1.28,4.7,1,1,-5.82114,-6.840087,-7.25599,-7.37757,-7.427881,-7.473283,-7.500993,-6.930004,-7.068014,-7.212934,-7.303028,-7.364329,-7.442929,-7.492409,-7.324104,-7.359617,-7.405855,-7.441154,-7.469203,-7.511635,-7.416687,-7.416687,-7.47599,-7.497866,-7.516437,-7.546695,-7.570769
79,CAF031,493628.3346,5180611.596,Palouse,Ap,0,13,13,1.27,4.69,1,1,4.409955,3.79971,3.595015,3.571033,3.586172,3.634576,3.675584,4.131202,4.064557,3.999549,3.962712,3.939847,3.913802,3.899132,4.010822,3.995994,3.977257,3.963318,3.952359,3.935565,3.975344,3.975344,3.951931,3.94324,3.935693,3.922729,3.911423
85,CAF033,493692.1524,5180610.417,Staley,Ap,0,9,9,1.3,4.08,1,1,2.680176,2.551039,2.504442,2.50764,2.526342,2.571114,2.608821,2.454692,2.434866,2.425829,2.430485,2.440836,2.466518,2.491543,2.40411,2.411261,2.424828,2.439008,2.452913,2.478416,2.426943,2.426943,2.455016,2.468056,2.480166,2.501487,2.51918
91,CAF035,493755.9527,5180592.46,Naff,Ap,0,11,11,1.46,4.86,1,1,6.918029,8.644677,9.337711,9.476203,9.466718,9.324146,9.148198,8.31978,8.516313,8.697904,8.781328,8.812494,8.797232,8.735798,8.760723,8.779454,8.787184,8.775783,8.752568,8.686912,8.783738,8.783738,8.743227,8.711337,8.675496,8.597985,8.518375
98,CAF037,493819.788,5180608.062,Latah,Ap,0,14,14,1.45,4.98,1,1,-6.633589,-5.116349,-3.762539,-2.959495,-2.410647,-1.693004,-1.237022,-4.193133,-3.731013,-3.138692,-2.69126,-2.338777,-1.814684,-1.440495,-2.619547,-2.409632,-2.113098,-1.867418,-1.659999,-1.327834,-2.042231,-2.042231,-1.609304,-1.438378,-1.289536,-1.042398,-0.844938
105,CAF039,493883.6204,5180621.22,Latah,Ap,0,17,17,1.32,5.04,1,1,-0.702292,-0.894031,-1.091777,-1.215191,-1.302929,-1.424356,-1.508084,-1.291209,-1.341749,-1.412302,-1.468573,-1.514258,-1.584149,-1.635576,-1.499557,-1.525883,-1.563709,-1.595576,-1.62285,-1.667265,-1.573827,-1.573827,-1.630382,-1.653132,-1.673143,-1.706776,-1.733959
111,CAF041,493947.432,5180613.932,Palouse,Ap,0,11,11,1.14,4.53,1,1,5.337239,5.063767,4.839154,4.671825,4.536631,4.332696,4.18826,6.046889,5.892567,5.676206,5.496733,5.344562,5.099676,4.911186,5.610812,5.516502,5.376525,5.254425,5.146997,4.966911,5.355602,5.355602,5.1327,5.039952,4.957112,4.815677,4.699783
116,CAF043,493257.9566,5180626.446,Latah,Ap,0,17,17,1.45,4.26,1,1,3.477506,2.847272,2.578364,2.509158,2.488491,2.485947,2.497665,2.641704,2.581313,2.525663,2.499108,2.487384,2.485406,2.496601,2.472875,2.467557,2.464935,2.467315,2.472796,2.489101,2.463463,2.463463,2.473328,2.481374,2.4906,2.511239,2.533529
122,CAF045,493323.2034,5180641.411,Palouse,Ap,0,15,15,1.46,4.25,1,1,-9.84135,-10.082397,-10.257767,-10.28068,-10.243186,-10.105596,-9.948534,-10.128692,-10.095563,-10.036858,-9.974431,-9.910015,-9.780527,-9.655081,-9.949955,-9.91222,-9.848694,-9.785307,-9.722768,-9.601796,-9.830839,-9.830839,-9.705748,-9.64501,-9.585838,-9.472599,-9.366286
128,CAF047,493385.6199,5180649.64,Palouse,Ap,0,20,20,1.33,,1,1,-1.435384,-0.314173,0.450537,0.81798,1.043681,1.324481,1.508237,0.055621,0.263426,0.52683,0.725442,0.883587,1.126531,1.311423,0.754294,0.847383,0.981387,1.095705,1.195541,1.364528,1.015599,1.015599,1.22177,1.307919,1.385979,1.52368,1.643222
133,CAF049,493449.4233,5180635.68,Palouse,Ap,0,24,24,1.22,5.03,1,1,3.14021,2.702375,2.35938,2.210388,2.146811,2.133444,2.184578,2.197882,2.153901,2.111406,2.095941,2.09845,2.136093,2.197573,2.076708,2.078849,2.091933,2.113675,2.141441,2.208297,2.096096,2.096096,2.148569,2.181375,2.216832,2.292544,2.371296
140,CAF051,493514.0376,5180631.032,Palouse,Ap,0,15,15,1.24,4.32,1,1,-1.914988,-1.704642,-1.263172,-0.893265,-0.586667,-0.101707,0.273541,-0.606656,-0.474941,-0.273627,-0.092088,0.073063,0.364453,0.615894,-0.034488,0.062951,0.214294,0.353836,0.483384,0.717809,0.252882,0.252882,0.516495,0.635257,0.746803,0.9515,1.135804
146,CAF053,493577.0617,5180636.431,Palouse,Ap,0,16,16,1.26,4.17,1,1,7.120888,6.478395,5.774605,5.32479,5.003481,4.560008,4.25811,6.14794,5.913052,5.587438,5.324355,5.106519,4.763905,4.503931,5.294748,5.166099,4.977796,4.815721,4.674368,4.438781,4.931378,4.931378,4.639353,4.518804,4.411248,4.227104,4.074805
152,CAF055,493640.8785,5180634.585,Palouse,Ap,0,17,17,1.24,4.48,1,1,3.27457,4.643355,5.805559,6.460875,6.89565,7.446303,7.781939,4.955918,5.364309,5.881411,6.266414,6.565747,7.002705,7.306597,6.193133,6.380424,6.641767,6.855239,7.03301,7.311989,6.691657,6.691657,7.066389,7.211114,7.335361,7.537241,7.693581
157,CAF057,493704.7095,5180646.296,Staley,Ap,0,22,22,1.33,4.58,1,1,-0.214999,-0.00743,-0.030644,-0.110439,-0.202043,-0.389146,-0.566533,-0.332316,-0.337059,-0.380494,-0.442973,-0.512355,-0.654452,-0.791155,-0.493956,-0.534491,-0.603639,-0.672743,-0.7406,-0.870583,-0.624662,-0.624662,-0.7606,-0.825953,-0.889177,-1.00908,-1.120556
162,CAF059,493770.7974,5180636.942,Palouse,Ap,0,17,17,1.23,4.24,1,1,-9.266015,-9.301246,-9.221223,-9.167863,-9.135851,-9.09966,-9.075293,-9.293689,-9.290357,-9.272514,-9.250034,-9.22693,-9.182487,-9.14094,-9.248335,-9.234673,-9.21211,-9.190131,-9.168814,-9.127945,-9.205782,-9.205782,-9.162819,-9.142262,-9.122219,-9.083388,-9.045858
168,CAF061,493832.3237,5180623.828,Naff,Ap,0,15,15,1.32,5.4,1,1,-0.040589,0.727658,1.379765,1.774537,2.049113,2.412337,2.644157,0.691238,0.90128,1.188695,1.42025,1.611758,1.911368,2.135833,1.395543,1.508073,1.672855,1.814534,1.937751,2.141789,1.706162,1.706162,1.961519,2.066299,2.159315,2.317295,2.446545
176,CAF063,493896.169,5180649.766,Naff,Ap,0,15,15,1.05,4.32,1,1,-5.490871,-6.012558,-6.123186,-6.078047,-6.010992,-5.884549,-5.781619,-5.687727,-5.746786,-5.788383,-5.794933,-5.785226,-5.746536,-5.700813,-5.76664,-5.762735,-5.749414,-5.731351,-5.711052,-5.668651,-5.743407,-5.743407,-5.703953,-5.682766,-5.66163,-5.620836,-5.582932
182,CAF065,493959.9746,5180636.922,Thatuna,Ap,0,16,16,1.3,4.15,1,1,-4.035094,-4.440659,-4.81509,-5.071685,-5.267327,-5.554824,-5.761975,-5.014563,-5.129129,-5.284883,-5.412619,-5.521529,-5.700894,-5.845028,-5.463535,-5.525798,-5.619221,-5.702187,-5.776729,-5.906017,-5.644327,-5.644327,-5.79688,-5.86258,-5.922689,-6.029149,-6.120943
188,CAF067,494023.7952,5180638.747,Thatuna,Ap,0,15,15,1.16,4.27,1,1,6.057349,5.335684,4.633875,4.196933,3.889907,3.483626,3.230902,5.232877,4.996297,4.67749,4.427142,4.22568,3.92319,3.709846,4.445059,4.32538,4.154478,4.012112,3.892206,3.70319,4.116117,4.116117,3.866029,3.768517,3.684946,3.550709,3.449789
