,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
2,CAF003,493383.1071,5180586.081,Naff,A,21,39,18,1.37,5.9,2
7,CAF005,493446.9111,5180572.12,Palouse,A,17,42,25,1.33,5.73,2
12,CAF007,493510.7264,5180568.273,Palouse,A,26,66,40,1.27,6.16,2
17,CAF009,493574.5508,5180572.871,Palouse,A,20,47,27,1.4,5.64,2
22,CAF011,493638.3683,5180571.025,Palouse,A,24,44,20,1.37,5.95,2
27,CAF013,493702.2,5180582.737,Naff,A,20,48,28,1.5,5.47,2
32,CAF015,493797.9223,5180576.303,Latah,A,13,40,27,1.31,5.74,2
38,CAF017,493893.6615,5180586.206,Palouse,A1,15,33,18,1.37,5.13,2
43,CAF019,493246.5977,5180590.191,Latah,A,24,48,24,1.56,5.75,2
50,CAF021,493309.2174,5180591.83,Staley,A,13,25,12,1.45,5.21,2
56,CAF023,493371.4556,5180609.627,Palouse,A,13,37,24,1.46,,2
62,CAF025,493436.8807,5180614.469,Naff,AB,14,33,19,1.35,5.4,2
68,CAF027,493502.3017,5180616.156,Palouse,BA,24,41,17,1.39,5.86,2
74,CAF029,493564.5137,5180609.886,Staley,AB,22,50,28,,6.15,2
80,CAF031,493628.3346,5180611.596,Palouse,A1,13,40,27,1.29,5.7,2
86,CAF033,493692.1524,5180610.417,Staley,AB,9,21,12,1.44,4.76,2
92,CAF035,493755.9527,5180592.46,Naff,A1,11,24,13,1.52,5.22,2
99,CAF037,493819.788,5180608.062,Latah,A,14,26.5,12.5,1.5,5.9,2
106,CAF039,493883.6204,5180621.22,Latah,A,17,38,21,1.53,6.67,2
112,CAF041,493947.432,5180613.932,Palouse,A,11,27,16,1.23,5.04,2
117,CAF043,493257.9566,5180626.446,Latah,A1,17,36,19,1.42,5.2,2
123,CAF045,493323.2034,5180641.411,Palouse,BA1,15,44,29,1.33,6.51,2
129,CAF047,493385.6199,5180649.64,Palouse,AB,20,53,33,1.41,,2
134,CAF049,493449.4233,5180635.68,Palouse,A1,24,45,21,1.21,6.12,2
141,CAF051,493514.0376,5180631.032,Palouse,AB,15,46,31,1.31,5.64,2
147,CAF053,493577.0617,5180636.431,Palouse,A,16,39,23,1.04,5.63,2
153,CAF055,493640.8785,5180634.585,Palouse,A,17,46,29,1.32,5.95,2
158,CAF057,493704.7095,5180646.296,Staley,AB,22,49,27,1.4,6.35,2
163,CAF059,493770.7974,5180636.942,Palouse,A,17,38,21,1.22,5.33,2
169,CAF061,493832.3237,5180623.828,Naff,A,15,32,17,1.41,5.85,2
177,CAF063,493896.169,5180649.766,Naff,A,15,41,26,1.19,5.43,2
183,CAF065,493959.9746,5180636.922,Thatuna,A,16,33,17,1.21,5.92,2
189,CAF067,494023.7952,5180638.747,Thatuna,A1,15,32,17,1.27,5.13,2
196,CAF069,493296.5399,5180655.406,Thatuna,A1,17,30,13,1.44,4.95,2
203,CAF071,493360.3768,5180672.003,Staley,A,13,24,11,1.52,5.5,2
209,CAF073,493421.8027,5180680.044,Staley,A,10,25,15,1.35,,2
216,CAF075,493488.0228,5180680.531,Thatuna,A1,18,31,13,1.23,5.56,2
223,CAF077,493551.8335,5180673.461,Palouse,A,18,35,17,1.17,5.56,2
229,CAF079,493615.6537,5180675.171,Thatuna,A1,10.5,35,24.5,1.19,5.11,2
236,CAF081,493679.4708,5180673.992,Thatuna,A,10,34,24,1.21,5.15,2
242,CAF083,493743.2704,5180656.035,Palouse,A1,19,40,21,1.41,5.1,2
248,CAF085,493807.105,5180671.637,Palouse,A,12,31,19,1.32,5.19,2
254,CAF087,493870.9368,5180684.795,Naff,A,15,46,31,1.35,5.37,2
260,CAF089,493935.2029,5180676.141,Palouse,A1,13,32,19,1.41,5.57,2
266,CAF091,493998.5585,5180669.998,Naff,A1,22,37,15,1.21,6.16,2
272,CAF093,494062.3704,5180663.489,Thatuna,A1,18,34,16,1.31,5.46,2
278,CAF095,493276.7264,5180689.078,Latah,A,10,31,21,1.53,4.82,2
286,CAF097,493339.9564,5180706.363,Thatuna,A,12,37,25,1.44,5,2
293,CAF099,493403.7819,5180713.182,Staley,A,18,33,15,1.41,5.43,2
301,CAF101,493467.5846,5180699.222,Palouse,A,16,43,27,1.22,5.75,2
307,CAF103,493531.3986,5180695.374,Thatuna,A1,14,30,16,1.25,5.16,2
314,CAF105,493595.2216,5180699.973,Thatuna,A,20,43,23,1.32,5.74,2
321,CAF107,493659.0377,5180698.127,Thatuna,A,23,51.5,28.5,1.6,5.81,2
328,CAF109,493725.5766,5180706.699,Thatuna,A,30,68,38,1.27,6.15,2
334,CAF111,493786.6792,5180703.217,Naff,A,23,42,19,1.46,6.03,2
341,CAF113,493851.8467,5180685.551,Naff,A,17.5,45,27.5,1.35,5.86,2
347,CAF115,493915.6912,5180711.488,Naff,A,22,43,21,1.38,6.07,2
353,CAF117,493978.1305,5180700.466,Naff,A1,21,35,14,1.16,5.99,2
359,CAF119,494044.2265,5180700.47,Naff,A,20,47,27,1.23,5.89,2
366,CAF121,494105.7794,5180713.451,Naff,A,20,47,27,1.52,,2
373,CAF123,493337.2435,5180738.147,Latah,A1,18,41,23,1.32,4.99,2
379,CAF125,493401.0687,5180744.966,Thatuna,A,16,45,29,1.31,5.51,2
385,CAF127,493466.0706,5180730.206,Staley,A,26,49.5,23.5,1.31,5.93,2
390,CAF129,493528.6847,5180727.158,Thatuna,A,23,36.5,13.5,1.19,6.09,2
396,CAF131,493592.5074,5180731.757,Thatuna,A1,16,30,14,1.23,5.54,2
402,CAF133,493656.3232,5180729.911,Thatuna,A,28,49,21,1.37,5.45,2
408,CAF135,493720.1532,5180741.623,Palouse,A1,18,36,18,1.34,5.6,2
414,CAF137,493782.1431,5180736.366,Naff,A1,15,30,15,1.36,5.44,2
420,CAF139,493847.7654,5180719.155,Naff,A,21,37,16,1.56,5.95,2
425,CAF141,493911.6096,5180745.093,Naff,A1,9,27,18,1.54,5.27,2
431,CAF143,493976.78,5180731.339,Naff,A1,21,42,21,1.44,5.79,2
438,CAF145,494039.2338,5180734.075,Naff,A,14,32,18,1.46,5.58,2
444,CAF147,494103.0625,5180745.235,Naff,AB,10,18,8,1.6,4.8,2
450,CAF149,493350.8639,5180767.357,Palouse,A,16,34,18,1.36,4.79,2
456,CAF151,493417.8866,5180770.999,Palouse,A,15,43,28,1.36,5.31,2
461,CAF153,493478.5079,5180775.884,Palouse,A,18,46,28,1.17,,2
466,CAF155,493542.3175,5180768.814,Thatuna,A,20,49,29,1.49,6.11,2
471,CAF157,493606.1367,5180770.524,Thatuna,Ap2,13,25,12,1.39,5.54,2
477,CAF159,493669.9528,5180769.345,Palouse,AB,17,57,40,1.48,6.17,2
482,CAF161,493733.7514,5180751.388,Thatuna,A,23,65,42,1.19,5.64,2
488,CAF163,493797.585,5180766.989,Palouse,A1,15,34,19,1.29,5.15,2
493,CAF165,493861.4158,5180780.147,Palouse,A,25,60,35,1.6,6.29,2
498,CAF167,493925.2257,5180772.86,Palouse,A1,17,34,17,1.5,5.97,2
504,CAF169,493989.0354,5180765.35,Naff,A,20,56,36,1.41,6.18,2
509,CAF171,494052.8464,5180758.841,Naff,Bw,18,57,39,1.58,5.89,2
514,CAF173,494116.657,5180751.889,Thatuna,AB,19,53,34,1.61,5.4,2
519,CAF175,493367.9983,5180799.119,Latah,A1,20,35,15,1.37,5.34,2
526,CAF177,493431.822,5180805.16,Palouse,A,19,34,15,1.48,5.95,2
531,CAF179,493495.6416,5180807.646,Thatuna,A,20,34,14,1.24,,2
537,CAF181,493559.451,5180800.577,Thatuna,A1,15,27,12,1.45,5.37,2
543,CAF183,493623.2698,5180802.287,Palouse,A,19,43,24,1.25,5.65,2
548,CAF185,493687.0856,5180801.108,Thatuna,A,18,40,22,1.38,5.22,2
553,CAF187,493750.8839,5180783.151,Thatuna,Ap2,10,20,10,1.51,5.05,2
560,CAF189,493814.7171,5180798.753,Palouse,A,13,31,18,1.31,5.21,2
566,CAF193,493942.3571,5180804.623,Palouse,BA,19,48,29,1.36,6.14,2
571,CAF195,494006.1666,5180797.114,Palouse,A,17,45,28,1.29,5.54,2
577,CAF197,494069.9772,5180790.605,Palouse,A,23,45,22,1.49,6.09,2
582,CAF199,494133.7875,5180783.653,Thatuna,Ap2,13,34,21,1.51,5.09,2
588,CAF201,493416.666,5180836.958,Thatuna,BA,23,61,38,1.61,6.33,2
593,CAF203,493480.4853,5180839.444,Thatuna,Ap2,17,33,16,1.38,5.77,2
599,CAF205,493544.2943,5180832.374,Palouse,Ap2,18,34,16,1.43,5.7,2
605,CAF207,493606.5134,5180835.683,Palouse,A,12,46,34,1.31,5.6,2
611,CAF209,493671.9282,5180832.905,Naff,A,20,48,28,1.43,5.93,2
617,CAF211,493735.7261,5180814.947,Thatuna,AB,28,57,29,1.36,5.88,2
622,CAF213,493799.5591,5180830.549,Thatuna,A,24,55,31,1.41,5.53,2
628,CAF215,493859.7475,5180844.162,Palouse,Ap2,13,37,24,1.33,4.94,2
634,CAF217,493927.1984,5180836.419,Palouse,A,17,38,21,1.26,5.53,2
639,CAF219,493991.0075,5180828.91,Palouse,BA,23,44,21,1.13,6.2,2
644,CAF221,494054.8177,5180822.401,Palouse,Bw1,28,49,21,1.43,6.02,2
649,CAF223,494118.6277,5180815.449,Palouse,BA,17,38,21,1.5,6.01,2
655,CAF225,493412.6587,5180872.077,Palouse,BA,16,35,19,1.43,5.2,2
660,CAF227,493478.459,5180856.118,Palouse,BA,21,42,21,1.5,6.08,2
665,CAF229,493540.2721,5180854.27,Naff,AB,24,52,28,1.27,,2
670,CAF231,493604.0934,5180858.868,Palouse,Ap2,11,28,17,1.5,5.47,2
676,CAF233,493667.9079,5180857.023,Staley,A,24,46,22,1.14,6.35,2
681,CAF235,493731.7365,5180868.735,Palouse,A,20,41,21,1.27,5.84,2
686,CAF237,493798.2411,5180860.384,Palouse,Bw1,18,49,31,1.42,5.63,2
691,CAF239,493858.4356,5180848.088,Palouse,A,14,35,21,1.39,4.71,2
697,CAF241,493923.1888,5180872.205,Palouse,BA,23,56,33,1.44,5.97,2
702,CAF243,493986.9922,5180859.362,Palouse,AB,26,49,23,1.24,6.2,2
708,CAF245,494050.8104,5180861.187,Palouse,BA,20,39,19,1.18,5.67,2
714,CAF247,494114.6377,5180872.347,Palouse,BA,24,50,26,1.42,5.99,2
719,CAF249,493445.5787,5180889.931,Thatuna,Bw1,18,43,25,1.41,5.02,2
726,CAF251,493509.3906,5180886.084,Staley,Bwk1,15,35,20,1.28,7.87,2
732,CAF253,493573.2116,5180890.682,Staley,BA,17,39,22,1.53,7.41,2
737,CAF255,493637.0257,5180888.836,Palouse,A,17,36,19,1.23,5.73,2
743,CAF257,493700.8541,5180900.548,Palouse,Bw1,24,60,36,1.4,6.12,2
748,CAF259,493764.6632,5180893.925,Palouse,AB,19,41,22,1.43,6.05,2
753,CAF261,493828.4629,5180878.08,Staley,Bw1,28,60,32,1.17,6.07,2
758,CAF263,493892.3055,5180904.017,Palouse,AB,18,42,24,1.48,5.57,2
763,CAF265,493957.4741,5180890.263,Palouse,BA,30,58,28,1.15,6.12,2
768,CAF267,494019.9263,5180892.999,Palouse,A,12,30,18,1.29,5.37,2
773,CAF269,494083.7533,5180904.159,Thatuna,Ap2,16,29,13,1.38,5.49,2
779,CAF271,494147.5581,5180892.762,Palouse,Ap2,14,30,16,1.46,5.47,2
785,CAF273,493498.4511,5180934.767,Thatuna,BE,24,47,23,1.45,5.73,2
790,CAF275,493560.6597,5180928.897,Palouse,Bw1,24,46,22,1.14,5.88,2
795,CAF277,493626.0766,5180929.408,Staley,AB,16,42,26,1.42,6.38,2
800,CAF279,493690.9522,5180926.713,Palouse,AB,25,44,19,1.22,6.12,2
805,CAF281,493754.8875,5180909.472,Staley,BA,21,55,34,1.27,6.29,2
810,CAF283,493817.5199,5180925.874,Palouse,Bw1,24,51,27,1.33,6.22,2
815,CAF285,493881.3489,5180939.032,Palouse,Bw1,24,60,36,1.42,6.05,2
820,CAF287,493945.1571,5180931.744,Palouse,A,28,38,10,1.28,5.88,2
825,CAF289,494008.9652,5180924.235,Palouse,A,20,44,24,1.27,5.94,2
831,CAF291,494072.7745,5180917.726,Palouse,Ap2,15,33,18,1.47,5.56,2
837,CAF293,494136.5834,5180910.774,Palouse,A,11,36,25,1.51,5.35,2
842,CAF298,493502.6076,5180966.544,Palouse,A,25,42,17,1.32,6.13,2
847,CAF300,493566.4152,5180959.474,Thatuna,A,14,34,20,1.22,5.56,2
852,CAF302,493631.4319,5180959.585,Palouse,A,15,37,22,1.2,5.7,2
858,CAF304,493694.0464,5180960.006,Palouse,Bw1,22,61,39,1.49,6.26,2
863,CAF306,493757.8431,5180942.048,Palouse,AB,18,49,31,1.44,6,2
868,CAF308,493821.6746,5180957.65,Palouse,Bw1,15,64,49,1.36,6.25,2
873,CAF310,493885.5034,5180970.809,Thatuna,A,22,58,36,1.21,6.09,2
878,CAF312,493946.5799,5180965.797,Palouse,A,22,36,14,1.15,,2
883,CAF314,494013.119,5180956.012,Thatuna,BA,20,43,23,1.48,5.71,2
888,CAF316,494076.9279,5180949.503,Thatuna,A,24,61,37,1.41,5.84,2
894,CAF324,493530.6382,5180981.404,Palouse,A,11,23,12,1.58,4.84,2
899,CAF326,493594.4582,5180986.002,Palouse,Ap2,16,32,16,1.27,5.4,2
905,CAF328,493658.2713,5180984.157,Palouse,A,19,52,33,1.31,6.03,2
910,CAF330,493722.0986,5180995.869,Palouse,Ap2,15,26,11,1.17,5.55,2
916,CAF332,493785.9066,5180989.246,Palouse,Ap2,10,22,12,1.46,4.95,2
