,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,HOrDEPT,BLD,PHIHOX,Horizon
1,CAF003,493383.1071,5180586.081,,,,,0,,,
6,CAF005,493446.9111,5180572.12,,,,,0,,,
11,CAF007,493510.7264,5180568.273,,,,,0,,,
16,CAF009,493574.5508,5180572.871,,,,,0,,,
21,CAF011,493638.3683,5180571.025,,,,,0,,,
26,CAF013,493702.2,5180582.737,,,,,0,,,
36,CAF015,493797.9223,5180576.303,Latah,Btb2,110,153,43,1.68,5.97,6
37,CAF017,493893.6615,5180586.206,,,,,0,,,
47,CAF019,493246.5977,5180590.191,Latah,Btb2,110,127,17,1.68,6.4,6
54,CAF021,493309.2174,5180591.83,Staley,Bwk2,114,153,39,1.6,7.91,6
60,CAF023,493371.4556,5180609.627,Palouse,Bw3,122,153,31,1.68,,6
66,CAF025,493436.8807,5180614.469,Naff,Btb,106,153,47,1.68,6.48,6
72,CAF027,493502.3017,5180616.156,Palouse,Bk,128,153,25,1.36,7.65,6
78,CAF029,493564.5137,5180609.886,Staley,Ck2,137,153,16,1.6,7.45,6
84,CAF031,493628.3346,5180611.596,Palouse,Bwb,127,153,26,1.65,6.72,6
90,CAF033,493692.1524,5180610.417,Staley,Bk4,135,153,18,1.52,7.47,6
96,CAF035,493755.9527,5180592.46,Naff,Ab,87,121,34,1.63,6.31,6
103,CAF037,493819.788,5180608.062,Latah,Btk2,98,140,42,1.69,7.57,6
110,CAF039,493883.6204,5180621.22,Latah,Btb2,123,153,30,1.74,7.34,6
111,CAF041,493947.432,5180613.932,,,,,0,,,
121,CAF043,493257.9566,5180626.446,Latah,E,119,149,30,1.71,6.36,6
127,CAF045,493323.2034,5180641.411,Palouse,Bwb,131,153,22,1.39,7.41,6
128,CAF047,493385.6199,5180649.64,,,,,0,,,
138,CAF049,493449.4233,5180635.68,Palouse,Bw2,104,136,32,1.61,6.73,6
145,CAF051,493514.0376,5180631.032,Palouse,Bwb,131,153,22,1.44,6.89,6
151,CAF053,493577.0617,5180636.431,Palouse,Bwb,122,153,31,1.63,6.91,6
152,CAF055,493640.8785,5180634.585,,,,,0,,,
157,CAF057,493704.7095,5180646.296,,,,,0,,,
167,CAF059,493770.7974,5180636.942,Palouse,Bwb,133,152,19,1.7,6.55,6
173,CAF061,493832.3237,5180623.828,Naff,Btb1,83,100,17,1.73,6.26,6
181,CAF063,493896.169,5180649.766,Naff,Btb,114,153,39,1.69,6.52,6
187,CAF065,493959.9746,5180636.922,Thatuna,Btb2,128,153,25,1.7,6.01,6
193,CAF067,494023.7952,5180638.747,Thatuna,Btb1,104,126,22,1.62,6.29,6
200,CAF069,493296.5399,5180655.406,Thatuna,Btb1,91,133,42,1.69,5.46,6
207,CAF071,493360.3768,5180672.003,Staley,Bk2,127,153,26,1.36,7.78,6
213,CAF073,493421.8027,5180680.044,Staley,Bk1,116,135,19,,,6
220,CAF075,493488.0228,5180680.531,Thatuna,Btb1,95,132,37,1.56,6.64,6
227,CAF077,493551.8335,5180673.461,Palouse,Bw2,123,153,30,1.61,6.96,6
233,CAF079,493615.6537,5180675.171,Thatuna,BE,88,118,30,1.66,6.62,6
240,CAF081,493679.4708,5180673.992,Thatuna,Btb3,124,153,29,1.62,6.64,6
246,CAF083,493743.2704,5180656.035,Palouse,Btb,115.5,153,37.5,1.71,6.57,6
252,CAF085,493807.105,5180671.637,Palouse,Bw3,112,153,41,1.69,6.63,6
258,CAF087,493870.9368,5180684.795,Naff,Btb3,125,153,28,1.73,6.65,6
264,CAF089,493935.2029,5180676.141,Palouse,Bwb,112,153,41,1.77,6.9,6
270,CAF091,493998.5585,5180669.998,Naff,Bwb,125,153,28,1.7,6.41,6
276,CAF093,494062.3704,5180663.489,Thatuna,Btb2,121,153,32,1.76,6.24,6
282,CAF095,493276.7264,5180689.078,Latah,Bwb2,92,121,29,1.53,7.12,6
