cat,X,Y,elevation
1,493989.0339,5180782.532,810
2,494007.0256,5180788.882,810
3,494030.3089,5180789.94,810
4,494052.0048,5180789.94,810
5,494073.7007,5180788.882,810
6,494092.7507,5180780.415,810
7,494087.8509,5180763.708,810
8,494078.7158,5180751.541,810
9,494060.4715,5180758.719,810
10,494043.0411,5180765.045,810
11,494024.4881,5180769.832,810
12,494004.6983,5180775.297,810
13,494101.8243,5180670.179,810
14,494107.5674,5180683.048,810
15,494117.0925,5180692.573,810
16,494128.6481,5180685.058,810
17,494083.7549,5180667.702,807.5
18,494087.4591,5180684.106,807.5
19,494087.219,5180700.422,807.5
20,494078.9924,5180716.386,807.5
21,494063.1229,5180730.524,807.5
22,494047.2423,5180738.611,807.5
23,494028.2094,5180745.084,807.5
24,494004.3797,5180751.84,807.5
25,493989.8838,5180755.169,807.5
26,493971.0422,5180759.777,807.5
27,493951.1368,5180764.64,807.5
28,493932.9421,5180767.715,807.5
29,493914.4788,5180775.592,807.5
30,493910.1879,5180787.823,807.5
31,493919.1837,5180800.523,807.5
32,493929.2379,5180812.165,807.5
33,493945.4027,5180817.394,807.5
34,493962.0463,5180820.632,807.5
35,493978.4505,5180819.573,807.5
36,493996.9714,5180814.282,807.5
37,494016.0214,5180808.99,807.5
38,494036.659,5180806.873,807.5
39,494057.8257,5180805.815,807.5
40,494073.4373,5180805.74,807.5
41,494086.4007,5180804.757,807.5
42,494100.1591,5180801.052,807.5
43,494107.9604,5180790.695,807.5
44,494109.1549,5180771.948,807.5
45,494107.5674,5180753.956,807.5
46,494112.2056,5180733.533,807.5
47,494117.0925,5180719.561,807.5
48,494126.6175,5180708.448,807.5
49,494136.7726,5180695.441,807.5
50,494063.1173,5180658.706,805
51,494066.5,5180672.967,805
52,494066.2923,5180688.34,805
53,494054.1215,5180704.744,805
54,494034.5423,5180713.211,805
55,494014.2401,5180726.178,805
56,493986.9172,5180733.319,805
57,493960.4588,5180739.669,805
58,493937.973,5180746.995,805
59,493912.8337,5180751.311,805
60,493898.472,5180754.164,805
61,493880.5545,5180763.481,805
62,493871.3154,5180778.716,805
63,493881.0836,5180789.94,805
64,493892.7253,5180801.582,805
